,goals,passes,possession,shots,shots_on_target,xg,opp_goals,opp_passes,opp_shots,opp_shots_on_target,opp_xg,Win,Draw
276,3,734.0,67.6,12.0,4.0,1.36,0,345.0,5.0,2.0,0.85,1,0
277,3,249.0,27.4,16.0,7.0,1.67,2,656.0,12.0,5.0,1.83,1,0
278,2,619.0,76.1,17.0,6.0,1.89,0,193.0,7.0,2.0,0.71,1,0
279,0,417.0,51.7,7.0,1.0,0.95,4,383.0,15.0,8.0,1.7,0,0
280,0,350.0,40.2,7.0,3.0,1.12,2,510.0,20.0,4.0,1.8,0,0
281,6,605.0,58.5,17.0,8.0,1.83,2,412.0,10.0,3.0,1.24,1,0
282,0,315.0,37.5,10.0,6.0,1.46,2,555.0,9.0,5.0,1.3,0,0
283,0,758.0,71.8,17.0,6.0,1.9,0,297.0,6.0,1.0,0.73,0,1
284,0,346.0,37.9,10.0,4.0,1.28,2,582.0,12.0,4.0,1.4,0,0
285,0,565.0,64.6,7.0,1.0,1.07,0,317.0,6.0,3.0,0.76,0,1
286,2,574.0,58.7,20.0,4.0,1.88,1,394.0,11.0,5.0,1.18,1,0
287,2,547.0,55.2,14.0,6.0,1.52,0,443.0,12.0,3.0,1.22,1,0
288,2,301.0,36.2,12.0,2.0,1.06,4,572.0,25.0,12.0,2.65,0,0
289,2,913.0,81.1,15.0,3.0,1.69,1,200.0,6.0,2.0,0.68,1,0
290,1,436.0,56.3,9.0,3.0,1.21,2,331.0,13.0,5.0,1.5,0,0
291,1,608.0,69.9,25.0,7.0,1.87,0,263.0,2.0,0.0,0.39,1,0
292,0,293.0,32.8,6.0,1.0,0.74,3,610.0,24.0,12.0,2.68,0,0
293,1,422.0,48.3,16.0,3.0,1.43,1,467.0,7.0,5.0,1.34,0,1
294,4,796.0,69.8,24.0,8.0,2.06,0,325.0,7.0,1.0,0.81,1,0
295,2,555.0,57.8,7.0,2.0,0.9,2,399.0,16.0,3.0,1.62,0,1
296,1,413.0,46.3,14.0,6.0,1.67,2,486.0,14.0,10.0,1.94,0,0
297,1,532.0,55.2,10.0,6.0,1.42,0,418.0,17.0,6.0,1.9,1,0
298,1,432.0,41.2,4.0,2.0,0.55,3,613.0,19.0,12.0,2.42,0,0
299,0,474.0,57.8,10.0,3.0,1.09,0,343.0,7.0,3.0,1.14,0,1
300,2,694.0,64.0,20.0,7.0,1.79,1,384.0,12.0,5.0,1.43,1,0
301,1,576.0,61.0,14.0,2.0,1.29,2,371.0,6.0,5.0,1.09,0,0
302,0,453.0,57.0,11.0,4.0,1.17,2,338.0,17.0,5.0,1.77,0,0
303,1,781.0,65.8,12.0,4.0,1.57,0,394.0,4.0,0.0,0.46,1,0
304,1,355.0,35.1,7.0,3.0,1.0,4,681.0,11.0,8.0,1.58,0,0
305,3,783.0,76.6,14.0,6.0,1.74,1,235.0,5.0,4.0,0.87,1,0
306,2,287.0,45.7,3.0,2.0,0.72,1,318.0,20.0,5.0,1.94,1,0
307,2,592.0,71.1,21.0,3.0,1.47,1,239.0,8.0,3.0,1.03,1,0
308,1,485.0,51.3,11.0,2.0,1.15,2,445.0,14.0,3.0,1.4,0,0
309,1,313.0,26.3,7.0,2.0,0.76,3,883.0,15.0,6.0,1.79,0,0
310,1,341.0,32.7,13.0,6.0,1.56,6,729.0,18.0,8.0,2.07,0,0
311,1,235.0,29.5,11.0,5.0,1.34,1,564.0,20.0,8.0,2.25,0,1
312,0,382.0,41.6,16.0,3.0,1.54,3,537.0,19.0,9.0,2.2,0,0
313,1,600.0,64.2,23.0,7.0,2.05,1,332.0,7.0,3.0,0.9,0,1
314,0,513.0,57.1,7.0,2.0,0.98,1,381.0,23.0,6.0,1.97,0,0
315,5,504.0,51.1,9.0,7.0,1.56,1,473.0,21.0,4.0,1.53,1,0
316,0,528.0,50.6,6.0,2.0,0.91,0,515.0,7.0,2.0,0.99,0,1
317,3,651.0,65.3,21.0,6.0,1.74,0,346.0,15.0,6.0,1.56,1,0
318,2,425.0,49.6,13.0,6.0,1.59,1,425.0,12.0,4.0,1.37,1,0
319,2,487.0,54.2,16.0,5.0,1.6,1,409.0,11.0,5.0,1.29,1,0
320,1,583.0,50.4,7.0,5.0,1.2,2,578.0,9.0,4.0,1.27,0,0
321,1,365.0,40.4,9.0,4.0,1.17,4,542.0,16.0,9.0,2.14,0,0
322,3,823.0,73.1,13.0,4.0,1.32,0,290.0,5.0,3.0,0.92,1,0
323,1,366.0,40.4,8.0,4.0,1.19,0,525.0,17.0,2.0,1.52,1,0
324,2,302.0,36.1,10.0,3.0,0.97,0,520.0,14.0,2.0,1.46,1,0
325,1,531.0,53.4,17.0,7.0,1.63,4,462.0,15.0,7.0,1.6,0,0
326,1,515.0,50.2,18.0,4.0,1.48,2,510.0,9.0,2.0,0.97,0,0
327,0,194.0,21.5,6.0,1.0,0.69,1,713.0,29.0,5.0,2.33,0,0
328,1,359.0,37.8,8.0,4.0,1.23,1,599.0,15.0,4.0,1.26,0,1
329,3,534.0,67.2,12.0,4.0,1.35,0,257.0,6.0,0.0,0.85,1,0
330,0,461.0,50.1,7.0,0.0,0.77,1,445.0,15.0,3.0,1.44,0,0
331,1,444.0,50.9,15.0,3.0,1.58,2,446.0,19.0,3.0,1.44,0,0
332,0,367.0,45.7,12.0,2.0,1.21,2,445.0,13.0,3.0,1.36,0,0
333,1,232.0,29.1,19.0,2.0,1.29,2,590.0,15.0,4.0,1.5,0,0
334,2,382.0,38.1,15.0,6.0,1.58,4,623.0,24.0,8.0,2.35,0,0
335,1,400.0,41.6,10.0,5.0,1.24,0,548.0,10.0,2.0,1.22,1,0
336,2,228.0,25.6,6.0,4.0,0.86,2,650.0,28.0,9.0,2.76,0,1
337,1,767.0,76.2,12.0,4.0,1.45,2,239.0,7.0,2.0,0.76,0,0
338,0,400.0,45.3,4.0,0.0,0.56,3,477.0,20.0,9.0,1.97,0,0
339,1,608.0,67.2,23.0,6.0,2.32,2,304.0,6.0,2.0,0.98,0,0
340,1,591.0,68.5,18.0,5.0,1.88,3,269.0,9.0,3.0,1.0,0,0
341,2,714.0,70.1,15.0,7.0,1.97,1,308.0,11.0,7.0,1.46,1,0
342,1,295.0,39.0,9.0,5.0,1.18,3,461.0,17.0,11.0,2.07,0,0
343,3,379.0,43.0,11.0,3.0,1.18,3,491.0,25.0,12.0,2.58,0,1
344,0,296.0,28.4,6.0,2.0,0.95,0,748.0,17.0,6.0,1.56,0,1
345,2,483.0,57.1,16.0,8.0,2.08,1,361.0,9.0,2.0,0.87,1,0
346,2,687.0,65.1,16.0,7.0,1.77,0,350.0,14.0,3.0,1.29,1,0
347,2,410.0,45.7,13.0,6.0,1.35,2,494.0,13.0,6.0,1.61,0,1
348,2,480.0,48.1,17.0,4.0,1.54,0,527.0,9.0,1.0,0.92,1,0
349,2,702.0,63.2,8.0,5.0,1.36,0,406.0,12.0,1.0,0.93,1,0
350,1,690.0,70.4,11.0,1.0,1.03,3,285.0,11.0,3.0,1.01,0,0
351,1,711.0,68.0,7.0,4.0,1.15,1,324.0,12.0,3.0,1.35,0,1
352,5,417.0,51.0,13.0,6.0,1.41,1,401.0,11.0,4.0,1.49,1,0
353,0,303.0,37.6,9.0,4.0,1.21,0,487.0,31.0,5.0,2.19,0,1
354,1,685.0,70.2,14.0,5.0,1.76,1,286.0,11.0,5.0,1.34,0,1
355,1,613.0,66.1,11.0,4.0,1.63,2,320.0,10.0,5.0,1.27,0,0
356,0,233.0,25.0,6.0,2.0,0.87,4,723.0,16.0,8.0,1.97,0,0
357,1,335.0,35.3,10.0,2.0,1.11,3,634.0,16.0,10.0,1.96,0,0
358,0,449.0,43.3,14.0,4.0,1.38,5,599.0,10.0,7.0,1.46,0,0
359,2,729.0,65.0,10.0,4.0,1.45,1,392.0,11.0,2.0,1.23,1,0
360,1,346.0,35.2,13.0,5.0,1.25,5,650.0,16.0,7.0,1.82,0,0
361,0,546.0,53.5,9.0,0.0,0.82,2,480.0,11.0,1.0,1.05,0,0
362,3,468.0,54.5,13.0,4.0,1.32,1,374.0,17.0,2.0,1.48,1,0
363,0,392.0,38.4,5.0,3.0,0.83,5,627.0,19.0,10.0,2.31,0,0
364,0,255.0,24.4,2.0,1.0,0.48,1,780.0,20.0,7.0,2.51,0,0
365,0,566.0,59.1,14.0,4.0,1.19,2,380.0,14.0,4.0,1.49,0,0
366,0,350.0,31.7,3.0,1.0,0.59,3,753.0,17.0,4.0,1.84,0,0
367,0,185.0,21.2,4.0,1.0,0.51,2,676.0,27.0,11.0,3.07,0,0
368,0,364.0,34.7,5.0,1.0,0.71,2,687.0,26.0,10.0,2.71,0,0
369,0,716.0,67.9,11.0,7.0,1.89,4,338.0,12.0,7.0,1.36,0,0
370,1,301.0,27.9,5.0,2.0,0.79,1,779.0,10.0,3.0,1.51,0,1
371,1,371.0,41.2,15.0,3.0,1.42,1,532.0,13.0,4.0,1.47,0,1
372,1,274.0,31.5,9.0,1.0,0.82,2,588.0,17.0,3.0,1.54,0,0
373,3,681.0,74.2,18.0,12.0,2.23,1,228.0,10.0,6.0,1.4,1,0
374,1,204.0,23.7,8.0,5.0,1.13,1,646.0,19.0,3.0,1.78,0,1
375,1,385.0,54.5,13.0,5.0,1.49,1,315.0,25.0,7.0,2.14,0,1
376,2,545.0,55.2,9.0,4.0,1.12,2,447.0,10.0,7.0,1.34,0,1
377,1,473.0,47.9,18.0,5.0,1.78,3,527.0,13.0,8.0,1.65,0,0
378,1,678.0,70.1,17.0,3.0,1.56,2,284.0,6.0,2.0,0.84,0,0
379,2,546.0,61.2,15.0,4.0,1.43,0,336.0,4.0,1.0,0.77,1,0
